#X(10*Mpc)   Y(10*Mpc)  Z(10*Mpc)  Potencial
20.00976926  30.28699742  26.74533463  8.81691805948e+26
21.13954565  33.53905695  37.46012237  5.47292847584e+26
16.9059058  33.6723606  28.37183354  5.57544425188e+26
22.01056101  33.6348781  29.97286122  3.49090328772e+26
19.97672752  32.30135025  28.83912903  3.3935591415e+26
19.89115828  26.79192913  31.94668318  1.51205148321e+26
20.17562766  30.75305199  38.06955011  1.42417679191e+26
20.19674983  33.46825132  38.7169621  1.39555841621e+26
21.6556776  32.45088446  33.21478188  1.17959733108e+26
21.82379564  32.74668979  32.83929644  8.44715230701e+25
19.41909229  30.80358842  27.2357439  8.12002263889e+25
20.91490399  29.66905749  36.32650155  6.22753508782e+25
17.47341062  34.2016417  37.09694733  5.91801065496e+25
20.87260434  26.37146819  34.25476659  4.71230720452e+25
20.81996492  29.50795191  30.20147389  4.8142040997e+25
21.24986029  31.5041225  34.80933278  3.95615452212e+25
21.92615452  33.21209466  34.76928482  3.73130902935e+25
20.51059285  28.3954908  30.9154625  3.59054092962e+25
18.47823656  32.33191505  27.93782823  3.7020721059e+25
20.53466673  35.95026347  27.39834824  3.24799489392e+25
20.43437659  30.03940439  38.34516071  2.7062206546e+25
20.54432887  34.53553215  27.89565073  2.91112865646e+25
17.19944527  33.86090678  28.46595224  3.36611596065e+25
20.40988841  31.97998631  32.62935062  2.44445415517e+25
20.81602794  32.24213391  35.04777549  1.95010304284e+25
21.2120064  28.24599609  32.98165707  1.81602291985e+25
24.37619621  34.87803189  33.48667009  1.7729270717e+25
20.27484385  29.94627387  38.66672419  1.75891694901e+25
21.03002159  29.66689364  29.27535994  1.83369815821e+25
20.63455239  30.12205822  29.64057678  1.80273966267e+25
16.78337648  33.28613668  34.94308611  1.52207066097e+25
21.39985948  27.8643277  31.26578216  1.48286872935e+25
19.01698567  31.3856936  27.50191293  1.80461431319e+25
18.58363971  32.99441992  27.76319686  1.74036192437e+25
21.59029193  34.05635387  37.34671554  1.60128119371e+25
21.03548848  32.88219992  36.98550469  1.52396345773e+25
17.76691795  33.68444163  29.65966577  1.41156228743e+25
21.14289402  28.83390986  30.50250202  1.28551868846e+25
20.77815845  33.11978201  37.9578656  1.40798693617e+25
16.76896872  33.30100349  28.29542487  1.58621460487e+25
20.94705226  25.88834918  34.9284217  1.48410401204e+25
17.3949289  33.66913405  31.04853792  1.22301542718e+25
23.57392929  28.69352939  29.9919133  1.1132214111e+25
18.43853844  29.93820083  29.95868777  1.1910301717e+25
18.39188636  32.7530428  27.7016349  1.34599384742e+25
23.32548813  34.14507064  31.08093307  1.06517287257e+25
21.18188494  33.79565603  37.38466881  1.45360960676e+25
17.13968397  33.71541481  33.07341124  1.01469043403e+25
18.90820959  32.09920441  27.74315192  1.16611445729e+25
21.42256734  33.59258673  37.53315444  1.33662422344e+25
15.63497485  32.20045277  30.01411303  9.70627087724e+24
18.97536714  29.30876178  35.33582453  8.99595698521e+24
17.87395341  32.78243681  27.71082168  1.07309433575e+25
20.92502203  33.08231815  37.81587861  1.06020553359e+25
22.37072702  29.07907945  27.04634313  9.47962816212e+24
19.2872739  31.83469053  39.2958926  8.32068301179e+24
20.60316431  31.91458622  37.92756378  8.8782183502e+24
23.27595453  34.28494549  35.96435313  8.1904827716e+24
20.40434116  31.92703787  31.73070543  8.83720888681e+24
22.94894771  34.33756246  32.93357723  7.99488197797e+24
21.55262725  30.14911909  34.17532074  7.71933798408e+24
19.92305883  26.81219941  31.9690373  1.28882301054e+25
10.32893913  46.1286131  21.24660908  3.65073752363e+27
16.92324899  33.32675949  36.05739482  6.92211603501e+24
19.94903307  33.48392868  38.93594421  7.69472014899e+24
15.46876543  31.2646452  31.54781394  6.74045196313e+24
17.7461568  33.77200971  29.45687915  7.93927276286e+24
21.87315628  32.69020173  32.1312516  7.53662925226e+24
21.72948537  32.71953379  32.29620889  7.56836372001e+24
17.12393778  32.17531016  29.39362786  7.2692868142e+24
20.28571548  31.69008314  37.82570361  6.66355172481e+24
21.24634868  33.51379835  37.63562024  1.02086768931e+25
20.27810357  30.66079961  26.87576347  9.27718622722e+24
17.8287408  34.2327098  27.04481907  1.814242395e+25
16.36832455  30.14131123  31.04464308  6.20894493015e+24
21.62621142  34.45605459  37.55146174  6.82502366827e+24
19.28950115  33.64325519  39.91347112  9.76787021209e+24
19.61434113  27.43580755  30.65001877  6.17083043367e+24
21.69976547  33.69487073  26.3889613  6.79839253701e+24
18.94901957  31.79168955  27.86455311  7.34148838957e+24
21.06610144  32.92189707  37.66298504  7.13730980256e+24
20.30199286  31.92284345  31.06408352  6.56079808653e+24
20.51517662  30.74633151  38.14163453  6.33653787159e+24
17.98318243  32.09157362  28.23019092  6.86315646946e+24
20.85860432  34.48073845  28.43408388  6.66821472798e+24
21.87425142  34.34545136  37.59268895  6.15087287165e+24
17.66453958  32.53912187  28.12570225  6.70470912621e+24
18.65683862  28.80102459  36.802167  5.20880549733e+24
19.19093449  35.95135936  38.66918458  7.28974103911e+24
22.24459561  32.78769175  31.65596779  5.95959597091e+24
21.43581993  31.90430747  34.31024123  5.70172319381e+24
25.71632873  34.92403817  32.13276896  5.18745748354e+24
21.80763154  27.55787974  34.67431075  4.94739418701e+24
21.16154223  29.06153861  38.31562047  4.78523187889e+24
14.46416586  44.43759233  15.56334463  3.0800637331e+27
20.93516187  29.29518914  30.42813578  5.42341675868e+24
19.50639677  33.82643178  39.49271679  4.92377363475e+24
14.44973443  33.48140571  31.35718721  5.04921126262e+25
16.91464297  32.98583744  28.09942167  6.02529818414e+24
24.44894618  34.58652673  27.00509985  5.20645613763e+24
20.24146897  30.52198166  26.76092999  7.96567202739e+24
21.77313653  31.94527527  34.88757552  5.06454694077e+24
21.36065651  33.30862552  36.22189265  5.13079819058e+24
18.80132014  32.05338943  27.75708145  5.78216008115e+24
22.21482643  32.96808831  34.27249323  4.96390077658e+24
21.22205578  32.62443949  36.90682384  5.17758154738e+24
17.35541598  33.67567722  37.20538068  4.5750686856e+24
20.44448596  27.74509694  38.98165468  1.81768429245e+25
16.08760109  31.66114676  30.81737454  4.64359640971e+24
17.51839687  31.92178289  29.22789184  5.05914240921e+24
17.97592137  32.88575546  28.18385191  5.42638685638e+24
21.06861855  27.15956362  34.65899797  4.1769653402e+24
17.16840502  33.75883097  32.8525378  4.37020115889e+24
18.39773899  33.14477704  28.61481832  4.98461986413e+24
21.22187111  30.68736974  24.60758211  9.20230642561e+25
22.30518887  34.62821876  38.08554083  4.17168480385e+24
22.3351524  34.52999743  37.79362656  4.21081198763e+24
20.3206573  28.88122783  38.08214185  3.78910660167e+24
23.83753565  34.64447433  33.9675122  4.0090725177e+24
20.00413798  33.57416166  38.73277002  4.60799009783e+24
17.18728996  36.6939813  35.11415727  3.88500636738e+24
24.51518043  34.70652801  27.05558559  4.14884318577e+24
21.31576675  28.10516032  35.05297871  3.79112886741e+24
22.7732959  34.80046826  37.58185596  3.84852378928e+24
20.27175911  30.62317837  38.05773198  4.55355048237e+24
25.30234746  34.97405175  26.87634618  2.2229194165e+25
17.07371984  36.116824  35.42330731  3.71570455391e+24
17.61171049  36.00323414  28.67159038  4.10354652324e+24
21.11115999  32.7312661  36.98899837  4.06606065514e+24
21.61440765  32.45381207  30.88991215  3.87217541915e+24
26.48373543  33.98497466  38.44102579  3.89226119499e+24
19.65263136  30.78230122  27.08142928  4.71030008414e+24
26.34602437  34.71231746  29.40890907  3.37353510838e+24
15.05820418  33.37636086  30.76482126  4.09664921898e+24
19.97816884  30.02836814  26.92657476  5.47728340106e+24
25.83912288  35.05227402  28.49063234  3.31362863383e+24
18.41129589  32.77699224  28.08978474  4.01040324476e+24
19.24701777  34.28039261  40.27719677  6.20342248837e+24
21.16462735  34.59789501  28.34588935  3.69380634677e+24
18.19485555  27.81909641  32.54865718  3.07732434944e+24
17.38665227  34.05105106  32.45863552  3.31796816083e+24
19.97730766  30.15855126  26.88844722  6.3477148549e+24
21.76505771  29.51356122  28.2002192  3.39704273025e+24
18.96152822  31.64484142  39.62723084  4.63428924234e+24
20.24769589  29.95693182  38.59516542  3.18400281819e+24
21.54960972  27.92615139  30.76128701  3.01918169349e+24
20.2448012  33.66076208  37.6536115  3.37066104533e+24
22.93575395  34.18862433  32.70409009  3.1632110764e+24
15.62787138  44.28477749  25.4872856  1.6631325436e+27
23.11907613  29.57564287  26.12765913  3.00688454559e+25
21.06312365  33.67662526  37.43847664  5.18486875915e+24
21.118369  29.4216271  36.11063565  2.91856502994e+24
20.52819375  35.9897284  27.37422672  3.57537891835e+24
23.37948103  34.33684569  35.57929892  2.87510153359e+24
21.42889325  29.20969131  34.14823525  2.77349001439e+24
21.56661292  32.91713188  30.86356119  3.17186740385e+24
22.92483123  34.19381181  30.01653485  3.10600836755e+24
20.84794166  34.60716965  28.22880966  3.18626186555e+24
19.44077612  32.02243614  28.14130293  3.41354807824e+24
24.8033196  34.68152801  29.79826605  2.83177668747e+24
18.5869115  31.83912554  27.60808404  3.30662740362e+24
20.73525458  30.4581064  25.62836317  1.49833682541e+25
19.5035018  28.51560135  39.80637522  6.54116866471e+24
18.68708055  29.00616259  36.06126316  2.55081124906e+24
21.02285496  27.92424959  34.08915158  2.57084728681e+24
20.1076523  31.12863373  32.3233358  2.81805540596e+24
20.69903559  29.71426039  38.79730734  2.54378498597e+24
18.0279894  27.13897377  33.17693015  2.43878672873e+24
16.98152717  33.95150607  28.05555449  3.51451722041e+24
17.25457468  37.15060859  35.29462985  2.51962629987e+24
20.96903093  28.58300196  31.66702271  2.64407881816e+24
28.48043874  34.80379429  31.04528834  2.82684259706e+24
23.4267367  28.69097033  30.49742882  2.52387155622e+24
22.01905642  33.66485491  29.86737883  4.42905594672e+24
19.96230993  30.08873456  30.96951761  2.67828989671e+24
21.66354852  38.09913247  37.72748479  3.85025419591e+24
22.23153714  28.96702463  30.09878287  2.55230044337e+24
18.29789724  29.58950287  30.23371641  2.56182143638e+24
23.23703201  35.2993957  36.52357686  2.42050192783e+24
18.61562693  32.09076674  27.62031479  2.99286407883e+24
18.42182049  33.53943409  28.03829504  2.9315745474e+24
