#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
449198 21830.435547 28971.333984 56560.644531 -39.601040 -35.957748 -225.989761 182.157623 -1.941706e+01
449199 21971.109375 28952.041016 56569.734375 9.090821 10.563304 -316.185455 55.269588 -1.460287e+01
449200 21768.058594 28947.876953 56531.074219 -26.442579 -200.359863 -178.625000 40.413277 -1.244474e+01
449201 21993.896484 28941.093750 56459.144531 -85.529709 -32.572311 -193.841797 23.068914 -9.160285e+00
449202 21884.335938 28905.810547 56510.535156 121.748779 2.742328 -142.623993 20.829401 1.000000e+37
449203 21995.203125 29055.767578 56572.453125 -50.472858 60.856464 -227.576263 20.000107 1.000000e+37
449204 21971.878906 29005.388672 56554.582031 -71.223587 -191.656357 -294.151947 16.291021 1.000000e+37
449205 21642.880859 28996.876953 56531.257812 25.254700 -99.716606 -297.861572 13.097292 1.000000e+37
449206 21701.673828 29013.996094 56629.222656 -35.994179 -149.386688 -323.051331 14.546690 1.000000e+37
449207 21891.298828 28982.343750 56650.816406 79.549652 -15.022427 -145.030106 12.456676 1.000000e+37
449208 21920.927734 29067.810547 56563.046875 155.304504 -28.014006 -310.301666 13.920255 1.000000e+37
449209 21737.330078 28963.183594 56470.687500 -52.343632 -35.717892 -72.227516 10.688013 1.000000e+37
449210 21888.869141 29075.947266 56497.312500 -129.420593 7.977109 -247.505905 13.060122 1.000000e+37
449211 21856.214844 28924.324219 56651.230469 78.629570 161.942459 -277.940369 9.130564 1.000000e+37
449212 21802.083984 29012.546875 56428.339844 -57.737568 32.606152 -51.750557 8.682747 1.000000e+37
449213 21888.753906 28936.931641 56640.070312 65.012756 69.383896 -111.126060 11.936442 1.000000e+37
449214 21943.259766 28891.978516 56500.328125 88.842842 8.636328 -315.167694 10.817959 1.000000e+37
449215 21669.376953 28969.232422 56565.253906 24.530733 -80.755623 -336.642883 9.276253 1.000000e+37
457369 22642.007812 27767.958984 56230.449219 42.213139 -5.724609 -241.786011 163.244934 -2.065226e+01
457370 22500.396484 27666.792969 56313.296875 56.043930 -29.942116 -123.089211 63.587589 -1.639173e+01
457371 22612.714844 27812.994141 56273.902344 23.300766 -104.838974 -76.679977 39.616913 -1.331244e+01
457372 22514.257812 27829.828125 56144.640625 34.701660 -61.139706 -272.398010 44.296932 -1.271017e+01
457373 22687.675781 27914.072266 56260.472656 -1.419323 -26.477989 -315.768768 29.497189 -1.001691e+01
457374 22538.763672 27703.695312 56138.476562 54.421448 -62.207104 -141.391327 22.750017 1.000000e+37
457375 22551.894531 27758.730469 56082.992188 102.027046 68.195869 -381.790924 15.363268 1.000000e+37
457376 22598.945312 27869.402344 56222.226562 129.660172 -54.035286 -329.339203 21.612062 1.000000e+37
457377 22627.740234 27839.980469 56207.089844 -110.544113 -0.625380 -305.826630 20.009897 1.000000e+37
